Id;Márka;Típus;Évjárat;Üzem;Hengerûrtartalom;Teljesítmény(le);Futott km;Ár
84;POLO;1.2 65 12V Sun FRISS MÛSZAKI!105000 KM!;2007;Benzin;1198;64;104500;1298000
85;CORSA;D 1.2 Sport TEMPOMAT!1 TULAJ!;2008;Benzin;1229;80;122500;1375000
86;ASTRA;H Caravan 1.9 CDTI Sport D.KLÍMA! TEMPOMAT MAGYAR!;2006;Dízel;1910;150;231000;1395000
87;CORSA;D 1.4 Sport D.KLÍMA! ALUF!GAR.KILOMÉTER!;2007;Benzin;1364;90;141000;1495000
88;ASTRA;H 1.4 Classic III GYÁRI ÁLLAPOTÚ! 1 TULAJ!;2010;Benzin;1364;90;174300;1498000
89;120d;ÚJ VEZÉRLÉS! FRISS MÛSZAKI!;2006;Dízel;1995;163;180500;1795000
90;FR-V;1.7 Comfort GARNT.KILOMÉTER! 1 TULAJ!;2006;Benzin;1668;125;136300;1995000
91;SORENTO;2.5 CRDi EX Premium 106800 KM! FRISS MÛSZAKI!;2006;Dízel;2497;140;106800;1995000
92;SPORTAGE;2.0 CRDi LX 4WD 1 TULAJ! ÚJ MOTOR!!;2006;Dízel;1991;140;140200;2095000
93;IMPREZA;2.0 Active FRISS MÛSZAKI! 4X4!;2007;LPG/benzin;1994;150;210000;2095000
94;SPRINTER;413 CDI 904.612 DUPLA HÁTSÓ KERÉK!;2004;Dízel;2151;129;359500;2139000
95;CR-V;2.2i CTDi Executive FRISS MÛSZAKI 1 TULAJ! BÕR!;2007;Dízel;2204;140;303100;2148000
96;SHARAN;2.0 FRISS MÛSZAKI!1 TULAJ! 7 FÕS!;2007;Benzin;1984;116;207700;2155000
97;318i;1 TULAJ! FRISS MÛSZAKI!;2007;Benzin;1995;129;191000;2295000
98;FLUENCE;1.5 dCi Expression 1 TULAJ! VEZETETT SZERVIZK!;2014;Dízel;1461;95;114300;2495000
99;CAPTIVA;2.0 D LT Medium (Automata) V.HOROG!TOLATÓ KAMERA!;2008;Dízel;1991;150;180500;2895000
100;ASTRA;F 1.6 GL SERVO;1994;Benzin;1598;75;375236;195000
101;PUNTO;1.1 55 S;1995;Benzin;1108;54;235794;197000
102;VECTRA;B 1.6 GL;1996;Benzin;1598;71;315924;267000
103;MATIZ;0.8 SE;1999;Benzin;796;52;177899;277000
104;SEICENTO;1.1 SPORTING;1999;Benzin;1108;53;224993;297000
105;ASTRA;G 1.4 16V GL;1999;Benzin;1389;90;296484;327000
106;CORDOBA;1.6 Sportline II;2000;Benzin;1598;75;229086;327000
107;ASTRA;CLASSIC 1.4;2000;Benzin;1389;60;303429;337000
108;TWINGO;1.2 16V;2001;Benzin;1149;75;166585;367000
109;THALIA;1.4 RN;2001;Benzin;1390;75;160842;395000
110;MATIZ;0.8 S;2002;Benzin;796;52;91528;427000
111;CORSA;C 1.2 CLUB;2001;Benzin;1199;75;232256;447000
112;MEGANE;BREAK 1.4 16V;2001;Benzin;1390;94;264850;477000
113;GALAXY;1.9 TDI CLX;1998;Dízel;1896;109;333040;490000
114;WAGON;R+ R PLUSSZ 1.3 GLX;2002;Benzin;1298;75;207535;497000
115;PUNTO;1.2 Dynamic;2003;Benzin;1242;60;140504;547000
116;PUNTO;1.2 HLX 16V;2001;Benzin;1242;79;127700;577000
117;307;2.0 HDI;2001;Dízel;1997;90;263419;577000
118;MEGANE;1.5 dCi Authentique;2002;Dízel;1461;82;202669;597000
119;FABIA;COMBI 1.4 CLASSIC;2001;Benzin;1397;68;180938;597000
120;SCENIC;Scénic 1.9 dCi Authentique Plus;2004;Dízel;1870;120;231914;599000
121;PUNTO;1.3 JTD Classic MO-I. 1.TUL;2005;Dízel;1248;69;223146;617000
122;AGILA;1.0 12V Club (5 személyes );2003;Benzin;973;58;153866;617000
123;MONDEO;TURNIER 2.0 TDCI;2002;Dízel;1998;131;186258;639000
124;ASTRA;G 1.6;2003;Benzin;1598;101;234000;647000
